Date,ULSP_Price,ULSD_Price,ULSP_Duty,ULSD_Duty
2024-08-19,1.4196,1.4742,0.5295000000000001,0.5295000000000001
2024-08-26,1.4101,1.4615,0.5295000000000001,0.5295000000000001
2024-09-02,1.3996000000000002,1.4519,0.5295000000000001,0.5295000000000001
2024-09-09,1.381,1.4340000000000002,0.5295000000000001,0.5295000000000001
2024-09-16,1.3649,1.4161,0.5295000000000001,0.5295000000000001
2024-09-23,1.3525999999999998,1.4002,0.5295000000000001,0.5295000000000001
2024-09-30,1.3417,1.3884999999999998,0.5295000000000001,0.5295000000000001
2024-10-07,1.3359,1.3846,0.5295000000000001,0.5295000000000001
2024-10-14,1.3386000000000002,1.3908,0.5295000000000001,0.5295000000000001
2024-10-21,1.3399,1.3925999999999998,0.5295000000000001,0.5295000000000001
2024-10-28,1.3441,1.3971,0.5295000000000001,0.5295000000000001
2024-11-04,1.3441,1.3984,0.5295000000000001,0.5295000000000001
2024-11-11,1.3459,1.4013,0.5295000000000001,0.5295000000000001
2024-11-18,1.3485,1.4049,0.5295000000000001,0.5295000000000001
2024-11-25,1.3537,1.414,0.5295000000000001,0.5295000000000001
2024-12-02,1.3593000000000002,1.4204,0.5295000000000001,0.5295000000000001
2024-12-09,1.3622999999999998,1.4249,0.5295000000000001,0.5295000000000001
2024-12-16,1.3639,1.4271,0.5295000000000001,0.5295000000000001
2024-12-23,1.3639,1.4285,0.5295000000000001,0.5295000000000001
2024-12-30,1.3649,1.4298,0.5295000000000001,0.5295000000000001
2025-01-06,1.366,1.433,0.5295000000000001,0.5295000000000001
2025-01-13,1.3651,1.4333,0.5295000000000001,0.5295000000000001
2025-01-20,1.3697,1.4427,0.5295000000000001,0.5295000000000001
2025-01-27,1.3836000000000002,1.4557,0.5295000000000001,0.5295000000000001
2025-02-03,1.3874000000000002,1.4613,0.5295000000000001,0.5295000000000001
