Date,Price,Open,High,Low,Change %
2020-09-02,1.3352,1.3383,1.3404,1.3283,-0.0022
2020-09-01,1.3381,1.3367,1.3484,1.3356,0.0009
2020-08-31,1.3369,1.3342,1.3396,1.3301,0.0015
2020-08-28,1.3349,1.3208,1.3358,1.3186,0.011399999999999999
2020-08-27,1.3198,1.3207,1.3285,1.3162,-0.0008
2020-08-26,1.3208,1.3152,1.322,1.3117,0.0044
2020-08-25,1.315,1.3068,1.3171,1.3054,0.0067
2020-08-24,1.3063,1.3086,1.315,1.3051,-0.0018
2020-08-21,1.3087,1.3216,1.3257,1.3059,-0.0095
2020-08-20,1.3212,1.3096,1.3226,1.3064,0.0087
2020-08-19,1.3098,1.3239,1.3268,1.3094,-0.0104
2020-08-18,1.3235,1.3099,1.3251,1.3095,0.0102
2020-08-17,1.3102,1.3087,1.3123,1.3074,0.0014000000000000002
2020-08-14,1.3084,1.306,1.3144,1.3047,0.0016
2020-08-13,1.3063,1.3035,1.3125,1.303,0.0024
2020-08-12,1.3032,1.3053,1.3068,1.3005,-0.0012
2020-08-11,1.3048,1.3078,1.3133,1.3042,-0.0017000000000000001
2020-08-10,1.307,1.3042,1.3104,1.3019,0.0015
2020-08-07,1.3051,1.3152,1.3155,1.3009,-0.0072
2020-08-06,1.3146,1.3114,1.3186,1.3111,0.0026
2020-08-05,1.3112,1.3073,1.3163,1.3057,0.004
2020-08-04,1.306,1.3075,1.3108,1.2981,-0.0009
2020-08-03,1.3072,1.3083,1.3113,1.3005,-0.0012
2020-07-31,1.3088,1.3098,1.3171,1.307,-0.0004
2020-07-30,1.3093,1.2998,1.3104,1.2944,0.0075
2020-07-29,1.2995,1.2932,1.3014,1.2912,0.005
2020-07-28,1.293,1.2883,1.2954,1.2838,0.0038
2020-07-27,1.2881,1.2786,1.2904,1.278,0.0072
2020-07-24,1.2789,1.2741,1.2805,1.2717,0.0039000000000000003
2020-07-23,1.2739,1.2734,1.2761,1.2673,0.0005
2020-07-22,1.2732,1.2733,1.2744,1.2643,0.0003
2020-07-21,1.2728,1.2658,1.2769,1.2649,0.0054
2020-07-20,1.266,1.2565,1.2666,1.2518,0.0076
2020-07-17,1.2565,1.2552,1.2575,1.2511,0.0013
2020-07-16,1.2549,1.2584,1.2626,1.2519,-0.0025
2020-07-15,1.258,1.2553,1.2651,1.2548,0.0026
2020-07-14,1.2548,1.2558,1.2568,1.2479,-0.0003
2020-07-13,1.2552,1.2612,1.2668,1.255,-0.0054
2020-07-10,1.262,1.2607,1.2665,1.2567,0.0013
2020-07-09,1.2604,1.2614,1.2671,1.2599,-0.0004
2020-07-08,1.2609,1.2542,1.2624,1.2508,0.0055000000000000005
2020-07-07,1.254,1.2492,1.2593,1.2462,0.0039000000000000003
2020-07-06,1.2491,1.2485,1.2521,1.246,0.0006
2020-07-03,1.2483,1.2465,1.2495,1.2438,0.0014000000000000002
2020-07-02,1.2466,1.2476,1.2531,1.2456,-0.0003
2020-07-01,1.247,1.2401,1.2492,1.2359,0.005699999999999999
2020-06-30,1.2399,1.2298,1.2403,1.2258,0.0084
2020-06-29,1.2296,1.234,1.2391,1.2251,-0.003
2020-06-26,1.2333,1.2421,1.2439,1.2314,-0.006500000000000001
2020-06-25,1.2414,1.2419,1.2466,1.2389,-0.0003
2020-06-24,1.2418,1.2521,1.2544,1.2414,-0.008
2020-06-23,1.2518,1.2467,1.2533,1.2431,0.0046
2020-06-22,1.2461,1.2356,1.2479,1.2335,0.0085
2020-06-19,1.2356,1.2422,1.2457,1.2343,-0.0055000000000000005
2020-06-18,1.2424,1.2556,1.2568,1.2401,-0.0104
2020-06-17,1.2554,1.2573,1.2589,1.2511,-0.0016
2020-06-16,1.2574,1.2605,1.2689,1.2553,-0.0022
2020-06-15,1.2602,1.2531,1.2607,1.2454,0.0049
2020-06-12,1.254,1.2601,1.2655,1.2474,-0.0048
2020-06-11,1.26,1.2746,1.2756,1.2586,-0.011399999999999999
2020-06-10,1.2745,1.2731,1.2814,1.2706,0.0013
2020-06-09,1.2729,1.2723,1.2757,1.2617,0.0006
2020-06-08,1.2722,1.2681,1.2737,1.2628,0.004699999999999999
2020-06-05,1.2663,1.2607,1.2732,1.2582,0.0055000000000000005
2020-06-04,1.2594,1.2576,1.2634,1.25,0.0017000000000000001
2020-06-03,1.2572,1.255,1.2617,1.2544,0.0018
2020-06-02,1.2549,1.2501,1.2577,1.2478,0.0046
2020-06-01,1.2492,1.2339,1.2508,1.2323,0.012
2020-05-29,1.2344,1.232,1.2395,1.2291,0.0023
2020-05-28,1.2316,1.2261,1.2346,1.2234,0.0054
2020-05-27,1.225,1.2332,1.2355,1.2205,-0.0066
2020-05-26,1.2331,1.219,1.2364,1.2179,0.012199999999999999
2020-05-25,1.2182,1.2179,1.2205,1.2163,0.0015
2020-05-22,1.2164,1.2226,1.2242,1.2161,-0.004699999999999999
2020-05-21,1.2222,1.224,1.2251,1.2185,-0.0014000000000000002
2020-05-20,1.2239,1.2241,1.2289,1.2222,-0.001
2020-05-19,1.2251,1.2195,1.2297,1.2184,0.0051
2020-05-18,1.2189,1.2086,1.2229,1.2075,0.006999999999999999
2020-05-15,1.2104,1.2222,1.2239,1.2101,-0.01
2020-05-14,1.2226,1.2231,1.2243,1.2165,-0.0002
2020-05-13,1.2229,1.226,1.2341,1.221,-0.0024
2020-05-12,1.2259,1.2334,1.2377,1.2255,-0.0062
2020-05-11,1.2335,1.2406,1.2439,1.2283,-0.0058
2020-05-08,1.2407,1.2363,1.2469,1.235,0.0037
2020-05-07,1.2361,1.2347,1.2418,1.2266,0.0016
2020-05-06,1.2341,1.2435,1.2451,1.2335,-0.0075
2020-05-05,1.2434,1.2443,1.2485,1.242,-0.0006
2020-05-04,1.2442,1.2499,1.2504,1.2405,-0.0048
2020-05-01,1.2502,1.2599,1.2603,1.2483,-0.0070999999999999995
2020-04-30,1.2592,1.2468,1.2643,1.2429,0.0103
2020-04-29,1.2464,1.2425,1.2487,1.2389,0.0034999999999999996
2020-04-28,1.2421,1.2432,1.2519,1.2403,-0.0006
2020-04-27,1.2428,1.2369,1.2456,1.2359,0.0049
2020-04-24,1.2367,1.2344,1.2378,1.2298,0.002
2020-04-23,1.2342,1.2334,1.2416,1.2308,0.0008
2020-04-22,1.2332,1.2295,1.2387,1.2274,0.0032
2020-04-21,1.2293,1.2437,1.2451,1.2247,-0.011399999999999999
2020-04-20,1.2435,1.2487,1.2505,1.2416,-0.0051
2020-04-17,1.2499,1.2457,1.2523,1.2407,0.0034999999999999996
2020-04-16,1.2455,1.2514,1.2531,1.2407,-0.004699999999999999
2020-04-15,1.2514,1.2616,1.2632,1.2437,-0.0086
2020-04-14,1.2623,1.2514,1.2647,1.2504,0.009300000000000001
2020-04-13,1.2507,1.2464,1.2537,1.2451,0.0044
2020-04-10,1.2452,1.2458,1.2489,1.2443,-0.0002
2020-04-09,1.2455,1.2384,1.2485,1.2361,0.005699999999999999
2020-04-08,1.2385,1.2331,1.2421,1.2288,0.0039000000000000003
2020-04-07,1.2337,1.2232,1.2386,1.2164,0.0088
2020-04-06,1.2229,1.2264,1.2328,1.2209,-0.0025
2020-04-03,1.226,1.2396,1.2412,1.2206,-0.010700000000000001
2020-04-02,1.2392,1.2376,1.2476,1.235,0.0013
2020-04-01,1.2376,1.2429,1.2443,1.233,-0.0034000000000000002
2020-03-31,1.2418,1.2414,1.2474,1.2251,0.0002
